S3 Image Path,Expected Species (Folder Name),AI Generated Caption,Top Candidate (Elasticsearch Result),Top Candidate Score,Expected Species In Top 5 Candidates,All Top 5 Candidates
fish-image/Bluefin-trevally/bluefin-trevally-001.png,Bluefin trevally,### Image Description  The image presents a close-up view of a fish swimming underwater.   #### Key ...,Blue ring angelfish,0.7778,FALSE,R1: Blue ring angelfish (0.7778); R2: Pennant coralfish (0.7749); R3: Royal angelfish (0.7650); R4: Coral catshark (0.7642); R5: False stonefish (0.7623)
fish-image/Bluespotted-ribbontail-ray/bluespotted-ribbontail-ray-001.png,Bluespotted ribbontail ray,## Description of the Image  The image depicts a blue-spotted stingray resting on a sandy ocean floo...,Bluespotted ribbontail ray,0.7856,TRUE,R1: Bluespotted ribbontail ray (0.7856); R2: Spotted eagle ray (0.7632); R3: Manta ray (0.7616); R4: Blue ring angelfish (0.7461); R5: Pennant coralfish (0.7384)
fish-image/Bowmouth-guitarfish/bowmouth-guitarfish-001.png,Bowmouth guitarfish,### Image Description  The image depicts an underwater scene featuring a prominent **bonnethead shar...,Zebra shark,0.7581,FALSE,R1: Zebra shark (0.7581); R2: Blacktip reef shark (0.7569); R3: Whale shark (0.7557); R4: Coral catshark (0.7556); R5: Shovelnose guitarfish (0.7549)
fish-image/Brownbanded-bamboo-shark/brownbanded-bamboo-shark-001.png,Brownbanded bamboo shark,### Image Description  The image shows a close-up view of a shark lying on the bottom of an aquarium...,Leopard shark,0.7279,FALSE,R1: Leopard shark (0.7279); R2: Zebra shark (0.7211); R3: Blacktip reef shark (0.7102); R4: Coral catshark (0.7080); R5: Whale shark (0.7040)
fish-image/Checkerboard-wrasse/checkerboard-wrasse-001.png,Checkerboard wrasse,### Description of the Image  The image depicts a vibrant fish swimming over a sandy ocean floor.   ...,Painted frogfish,0.7550,FALSE,R1: Painted frogfish (0.7550); R2: Indian vagabond butterflyfish (0.7498); R3: Latticed butterflyfish (0.7436); R4: Royal angelfish (0.7429); R5: False stonefish (0.7425)
fish-image/Clark's-anemonefish/clark's-anemonefish-001.png,Clark's anemonefish,### Image Description The image depicts a close-up view of a fish swimming near coral reefs.  *   **...,Clark's anemonefish,0.8151,TRUE,R1: Clark's anemonefish (0.8151); R2: Ocellaris clownfish (0.7916); R3: Pink skunk clownfish (0.7610); R4: Tomato clownfish (0.7439); R5: Pennant coralfish (0.7423)
fish-image/Clearfin-lionfish/clearfin-lionfish-001.png,Clearfin lionfish,### Image Description  The image depicts an underwater scene featuring a lionfish situated on a sand...,Red lionfish,0.8247,TRUE,R1: Red lionfish (0.8247); R2: Clearfin lionfish (0.7977); R3: Painted frogfish (0.7429); R4: False stonefish (0.7313); R5: Commerson's frogfish (0.7245)
fish-image/Clown-triggerfish/clown-triggerfish-001.png,Clown triggerfish,## Image Description The image depicts an underwater scene featuring a small fish swimming near a co...,Clark's anemonefish,0.7551,FALSE,R1: Clark's anemonefish (0.7551); R2: Spot-fin porcupinefish (0.7387); R3: Painted frogfish (0.7356); R4: Pennant coralfish (0.7340); R5: Yellow boxfish (0.7326)
fish-image/Commerson's-frogfish/commerson's-frogfish-001.png,Commerson's frogfish,"## Image Description  The image depicts an underwater scene featuring a large, greenish-yellow spong...",Painted frogfish,0.7554,TRUE,R1: Painted frogfish (0.7554); R2: Commerson's frogfish (0.7553); R3: False stonefish (0.7518); R4: Coral catshark (0.7483); R5: Pennant coralfish (0.7374)
fish-image/Coral-catshark/coral-catshark-001.png,Coral catshark,"### Image Description  The image depicts a digital illustration of an aquatic creature, likely a pre...",Whale shark,0.7403,TRUE,R1: Whale shark (0.7403); R2: Coral catshark (0.7363); R3: Blacktip reef shark (0.7286); R4: Whitetip reef shark (0.7244); R5: False stonefish (0.7214)
fish-image/Coral-hind/coral-hind-001.png,Coral hind,### Image Description The image depicts an underwater scene featuring a large fish swimming above a ...,Pennant coralfish,0.7331,FALSE,R1: Pennant coralfish (0.7331); R2: Spot-fin porcupinefish (0.7192); R3: Red lionfish (0.7172); R4: Orange-lined triggerfish (0.7126); R5: Painted frogfish (0.7125)
fish-image/Crocodile-snake-eel/crocodile-snake-eel-001.png,Crocodile snake eel,"## Image Description  The image depicts an underwater scene featuring a long, slender creature lying...",Fimbriated moray,0.7588,TRUE,R1: Fimbriated moray (0.7588); R2: Crocodile snake eel (0.7553); R3: Greyface moray eel (0.7537); R4: Laced moray (0.7437); R5: False stonefish (0.7437)
fish-image/Dogtooth-tuna/dogtooth-tuna-001.png,Dogtooth tuna,"## Image Description The image depicts a fish swimming underwater, likely near a coral reef.  ### Ke...",Pennant coralfish,0.7799,FALSE,R1: Pennant coralfish (0.7799); R2: Coral hind (0.7701); R3: Trumpetfish (0.7604); R4: False stonefish (0.7586); R5: Coral catshark (0.7520)
fish-image/Eastern-triangle-butterflyfish/eastern-triangle-butterflyfish-001.png,Eastern triangle butterflyfish,### Image Description  The image depicts an underwater scene featuring a fish as the central subject...,Emperor angelfish,0.8321,FALSE,R1: Emperor angelfish (0.8321); R2: Royal angelfish (0.7927); R3: Blue ring angelfish (0.7797); R4: Blueface angelfish (0.7700); R5: Pennant coralfish (0.7440)
fish-image/Eightband-butterflyfish/eightband-butterflyfish-001.png,Eightband butterflyfish,## Image Description The image depicts a fish swimming on the ocean floor.   ### Key Features of the...,Yellow boxfish,0.7492,TRUE,R1: Yellow boxfish (0.7492); R2: Latticed butterflyfish (0.7438); R3: Spot-fin porcupinefish (0.7366); R4: Eightband butterflyfish (0.7365); R5: False stonefish (0.7364)
fish-image/Emperor-angelfish/emperor-angelfish-001.png,Emperor angelfish,"## Image Description  The image depicts an **Emperor Angelfish (Pomacanthus imperator)**, a species ...",Emperor angelfish,0.8833,TRUE,R1: Emperor angelfish (0.8833); R2: Royal angelfish (0.8197); R3: Blue ring angelfish (0.8006); R4: Blueface angelfish (0.7979); R5: Pennant coralfish (0.7708)
fish-image/False-stonefish/false-stonefish-001.png,False stonefish,### Image Description  The image depicts an underwater scene featuring a vibrant red sea creature al...,Coral hind,0.7083,FALSE,R1: Coral hind (0.7083); R2: Pennant coralfish (0.7075); R3: Coral catshark (0.7057); R4: Blue ring angelfish (0.7033); R5: Red lionfish (0.6933)
fish-image/Fimbriated-moray/fimbriated-moray-001.png,Fimbriated moray,"### Image Description  The image presents a close-up view of an **eel's head**, showcasing its disti...",Greyface moray eel,0.7873,TRUE,R1: Greyface moray eel (0.7873); R2: Fimbriated moray (0.7839); R3: Spotted garden eel (0.7793); R4: Crocodile snake eel (0.7716); R5: Coral hind (0.7596)
fish-image/Giant-moray/giant-moray-001.png,Giant moray,## Image Description  The image depicts two **giant moray eels** swimming near a coral reef underwat...,Fimbriated moray,0.7472,TRUE,R1: Fimbriated moray (0.7472); R2: Greyface moray eel (0.7401); R3: Laced moray (0.7397); R4: Giant moray (0.7346); R5: Spotted garden eel (0.7186)
fish-image/Giant-trevally/giant-trevally-001.png,Giant trevally,"## Image Description  The image depicts a large fish swimming underwater, likely an Atlantic Bluefin...",Dogtooth tuna,0.8047,FALSE,R1: Dogtooth tuna (0.8047); R2: Blueface angelfish (0.7701); R3: Blue triggerfish (0.7680); R4: Clearfin lionfish (0.7656); R5: Bluefin trevally (0.7645)
fish-image/Great-barracuda/great-barracuda-001.png,Great barracuda,"## Image Description  The image depicts a large fish swimming underwater, likely a Barracuda, given ...",Great barracuda,0.7949,TRUE,R1: Great barracuda (0.7949); R2: Blackfin barracuda (0.7770); R3: Yellowtail barracuda (0.7676); R4: Dogtooth tuna (0.7605); R5: Pickhandle barracuda (0.7592)
fish-image/Green-humphead-parrotfish/green-humphead-parrotfish-001.png,Green humphead parrotfish,### Image Description  The image shows three large fish swimming together underwater against a dark ...,Latticed butterflyfish,0.7290,FALSE,R1: Latticed butterflyfish (0.7290); R2: Blue triggerfish (0.7265); R3: False stonefish (0.7234); R4: Pennant coralfish (0.7197); R5: Redtoothed triggerfish (0.7197)
fish-image/Greyface-moray-eel/greyface-moray-eel-001.png,Greyface moray eel,"### Image Description The image presents a close-up view of an eel's head, showcasing its distinctiv...",Greyface moray eel,0.7783,TRUE,R1: Greyface moray eel (0.7783); R2: Fimbriated moray (0.7635); R3: Crocodile snake eel (0.7489); R4: Kuhl's maskray (0.7482); R5: Spotted garden eel (0.7478)
fish-image/Halfmoon-triggerfish/halfmoon-triggerfish-001.png,Halfmoon triggerfish,### Image Description  The image depicts a fish swimming near the ocean floor.   *   **Fish Characte...,Yellow boxfish,0.7830,FALSE,R1: Yellow boxfish (0.7830); R2: Blue ring angelfish (0.7744); R3: Pennant coralfish (0.7731); R4: Royal angelfish (0.7690); R5: Indian vagabond butterflyfish (0.7673)
fish-image/Honeycomb-grouper/honeycomb-grouper-001.png,Honeycomb grouper,### Image Description  The image depicts an underwater scene featuring a large fish resting on a roc...,Honeycomb grouper,0.8046,TRUE,R1: Honeycomb grouper (0.8046); R2: Humpback grouper (0.7271); R3: Argus grouper (0.7032); R4: False stonefish (0.7025); R5: Blue ring angelfish (0.6952)
fish-image/Humpback-grouper/humpback-grouper-001.png,Humpback grouper,### Image Description  The image depicts an underwater scene featuring a white fish with black spots...,White-spotted puffer,0.8087,FALSE,R1: White-spotted puffer (0.8087); R2: Latticed butterflyfish (0.7713); R3: Blackspotted puffer (0.7683); R4: Spot-fin porcupinefish (0.7635); R5: White-spotted boxfish (0.7599)
fish-image/Humphead-wrasse/humphead-wrasse-001.png,Humphead wrasse,### Image Description  The image depicts a large fish swimming over a coral reef.   *   **Fish Chara...,Humphead wrasse,0.8099,TRUE,R1: Humphead wrasse (0.8099); R2: Green humphead parrotfish (0.7596); R3: Humpnose unicornfish (0.7579); R4: Coral hind (0.7470); R5: Pennant coralfish (0.7346)
fish-image/Humpnose-unicorn/humpnose-unicorn-001.png,Humpnose unicorn,### Image Description  The image depicts a fish swimming underwater.   *   **Fish Characteristics:**...,Redtoothed triggerfish,0.8360,FALSE,R1: Redtoothed triggerfish (0.8360); R2: Blue triggerfish (0.8251); R3: Titan triggerfish (0.8125); R4: Orange-lined triggerfish (0.8035); R5: Yellowmargin triggerfish (0.8007)
fish-image/Indian-Ocean-oriental-sweetlips/indian-ocean-oriental-sweetlips-001.png,Indian Ocean oriental sweetlips,### Image Description  The image depicts an underwater scene featuring a fish swimming near coral fo...,Pennant coralfish,0.7385,FALSE,R1: Pennant coralfish (0.7385); R2: Coral hind (0.7330); R3: Coral catshark (0.7310); R4: Latticed butterflyfish (0.7246); R5: False stonefish (0.7244)
fish-image/Indian-mackerel/indian-mackerel-001.png,Indian mackerel,### Image Description  The image depicts a large school of fish swimming above a coral reef.   *   *...,Coral hind,0.7210,FALSE,R1: Coral hind (0.7210); R2: Schooling bannerfish (0.7205); R3: Pennant coralfish (0.7195); R4: Latticed butterflyfish (0.7101); R5: Trumpetfish (0.7062)
fish-image/Indian-vagabond-butterflyfish/indian-vagabond-butterflyfish-001.png,Indian vagabond butterflyfish,"### Image Description  The image presents a close-up view of a fish swimming underwater, showcasing ...",Coral hind,0.7848,TRUE,R1: Coral hind (0.7848); R2: Pennant coralfish (0.7802); R3: Coral catshark (0.7759); R4: Indian vagabond butterflyfish (0.7683); R5: Blue ring angelfish (0.7639)
fish-image/Kuhl's-maskray/kuhl's-maskray-001.png,Kuhl's maskray,### Image Description  The image depicts an underwater scene featuring a blue-spotted stingray resti...,Bluespotted ribbontail ray,0.8496,FALSE,R1: Bluespotted ribbontail ray (0.8496); R2: Manta ray (0.7554); R3: Spotted eagle ray (0.7485); R4: Blue ring angelfish (0.7248); R5: Fimbriated moray (0.7225)
fish-image/Laced-moray/laced-moray-001.png,Laced moray,### Image Description The image depicts an underwater scene featuring a large moray eel with its mou...,Fimbriated moray,0.7564,TRUE,R1: Fimbriated moray (0.7564); R2: Greyface moray eel (0.7467); R3: Laced moray (0.7247); R4: Giant moray (0.7199); R5: Kuhl's maskray (0.6991)
fish-image/Latticed-butterflyfish/latticed-butterflyfish-001.png,Latticed butterflyfish,### Image Description  The image depicts a vibrant yellow fish swimming above a dark-colored seabed....,Yellow boxfish,0.7955,FALSE,R1: Yellow boxfish (0.7955); R2: Spot-fin porcupinefish (0.7763); R3: Eightband butterflyfish (0.7755); R4: Indian vagabond butterflyfish (0.7743); R5: Scrawled butterflyfish (0.7690)
fish-image/Leopard-shark/leopard-shark-001.png,Leopard shark,### Image Description The image depicts an underwater scene featuring two **epaulette sharks** resti...,Coral catshark,0.7089,TRUE,R1: Coral catshark (0.7089); R2: Leopard shark (0.7065); R3: Whale shark (0.7005); R4: Zebra shark (0.6949); R5: Brownbanded bamboo shark (0.6804)
fish-image/Little-dragonfish/little-dragonfish-001.png,Little dragonfish,"### Description of the Image  The image presents a close-up view of an underwater creature, likely a...",Painted frogfish,0.7892,FALSE,R1: Painted frogfish (0.7892); R2: Commerson's frogfish (0.7856); R3: False stonefish (0.7540); R4: Trumpetfish (0.7536); R5: Coral catshark (0.7520)
fish-image/Manta-ray/manta-ray-001.png,Manta ray,"## Image Description The image depicts a manta ray swimming underwater, its body facing downwards to...",Manta ray,0.8322,TRUE,R1: Manta ray (0.8322); R2: Pennant coralfish (0.7204); R3: Blue ring angelfish (0.7129); R4: Blueface angelfish (0.7116); R5: Coral catshark (0.7052)
fish-image/Map-puffer/map-puffer-001.png,Map puffer,### Image Description   The image showcases an underwater scene featuring a large pufferfish swimmin...,White-spotted puffer,0.7582,FALSE,R1: White-spotted puffer (0.7582); R2: Blackspotted puffer (0.7477); R3: Pennant coralfish (0.7474); R4: Latticed butterflyfish (0.7341); R5: Stellate puffer (0.7294)
fish-image/Moorish-idol/moorish-idol-001.png,Moorish idol,## Image Description  The image depicts a **Moorish idol fish** (*Zanclus cornutus*) swimming in an ...,Moorish idol,0.8673,TRUE,R1: Moorish idol (0.8673); R2: Painted frogfish (0.7458); R3: Pennant coralfish (0.7431); R4: Coral hind (0.7409); R5: Indian vagabond butterflyfish (0.7400)
fish-image/Ocellaris-clownfish/ocellaris-clownfish-001.png,Ocellaris clownfish,### Image Description  The image depicts an underwater scene featuring clownfish swimming among cora...,Ocellaris clownfish,0.7816,TRUE,R1: Ocellaris clownfish (0.7816); R2: Pink skunk clownfish (0.7620); R3: Tomato clownfish (0.7390); R4: Clown triggerfish (0.7351); R5: Clark's anemonefish (0.7226)
fish-image/Orange-lined-triggerfish/orange-lined-triggerfish-001.png,Orange lined triggerfish,"### Image Description  The image presents a close-up view of a fish swimming underwater, captured fr...",Yellow boxfish,0.7816,TRUE,R1: Yellow boxfish (0.7816); R2: Orange-lined triggerfish (0.7786); R3: Clark's anemonefish (0.7701); R4: Spot-fin porcupinefish (0.7661); R5: Pennant coralfish (0.7655)
fish-image/Ornate-ghost-pipefish/ornate-ghost-pipefish-001.png,Ornate ghost pipefish,"## Image Description  The image depicts an underwater scene featuring a **leafy seadragon**, also kn...",Pennant coralfish,0.7200,TRUE,R1: Pennant coralfish (0.7200); R2: Ocellaris clownfish (0.7119); R3: Ornate ghost pipefish (0.7047); R4: Blue ring angelfish (0.6969); R5: Palette surgeonfish (0.6949)
fish-image/Painted-frogfish/painted-frogfish-001.png,Painted frogfish,### Image Description  The image depicts an underwater scene featuring a vibrant yellow-orange spong...,Commerson's frogfish,0.7290,TRUE,R1: Commerson's frogfish (0.7290); R2: Painted frogfish (0.7257); R3: Orange-lined triggerfish (0.7251); R4: Pennant coralfish (0.7214); R5: Clark's anemonefish (0.7195)
fish-image/Palette-surgeonfish/palette-surgeonfish-001.png,Palette surgeonfish,### Image Description  The image presents a captivating close-up view of two blue tang fish swimming...,Blue ring angelfish,0.7642,FALSE,R1: Blue ring angelfish (0.7642); R2: Blue triggerfish (0.7442); R3: Blueface angelfish (0.7432); R4: Pennant coralfish (0.7378); R5: Royal angelfish (0.7324)
fish-image/Pennant-coralfish/pennant-coralfish-001.png,Pennant coralfish,### Image Description  The image captures an underwater scene featuring a fish swimming near the oce...,Indian vagabond butterflyfish,0.7567,TRUE,R1: Indian vagabond butterflyfish (0.7567); R2: Schooling bannerfish (0.7490); R3: Pennant coralfish (0.7463); R4: Coral hind (0.7432); R5: Coral catshark (0.7411)
fish-image/Pickhandle-barracuda/pickhandle-barracuda-001.png,Pickhandle barracuda,### Image Description  The image depicts an underwater scene featuring a **barracuda** swimming near...,Great barracuda,0.7601,TRUE,R1: Great barracuda (0.7601); R2: Blackfin barracuda (0.7468); R3: Yellowtail barracuda (0.7383); R4: Pickhandle barracuda (0.7371); R5: Coral hind (0.7078)
fish-image/Pink-skunk-clownfish/pink-skunk-clownfish-001.png,Pink skunk clownfish,### Image Description The image presents a close-up view of an anemone fish nestled within its host ...,Ocellaris clownfish,0.7630,TRUE,R1: Ocellaris clownfish (0.7630); R2: Clark's anemonefish (0.7386); R3: Pink skunk clownfish (0.7351); R4: Clown triggerfish (0.7059); R5: Tomato clownfish (0.7028)
fish-image/Potato-cod/potato-cod-001.png,Potato cod,"## Image Description  The image presents a close-up view of a large fish, likely a Goliath Grouper, ...",Argus grouper,0.7535,FALSE,R1: Argus grouper (0.7535); R2: Honeycomb grouper (0.7311); R3: Humpback grouper (0.7290); R4: Giant moray (0.7172); R5: Shovelnose guitarfish (0.7143)
fish-image/Powderblue-surgeonfish/powderblue-surgeonfish-001.png,Powderblue surgeonfish,## Image Description The image depicts a vibrant blue tang fish swimming near a coral reef.  ### Key...,Pennant coralfish,0.7992,FALSE,R1: Pennant coralfish (0.7992); R2: Blue ring angelfish (0.7945); R3: Blueface angelfish (0.7846); R4: Coral hind (0.7784); R5: Blue triggerfish (0.7779)
fish-image/Red-fire-goby/red-fire-goby-001.png,Red fire goby,### Image Description  The image depicts a small fish swimming in an aquarium or tank.   *   **Fish ...,Painted frogfish,0.7476,FALSE,R1: Painted frogfish (0.7476); R2: Blue ring angelfish (0.7406); R3: Yellow boxfish (0.7350); R4: Indian vagabond butterflyfish (0.7302); R5: Pink skunk clownfish (0.7294)
fish-image/Red-lionfish/red-lionfish-001.png,Red lionfish,### Description of the Image  The image depicts an underwater scene featuring a lionfish situated on...,Red lionfish,0.7975,TRUE,R1: Red lionfish (0.7975); R2: Clearfin lionfish (0.7781); R3: Pennant coralfish (0.7131); R4: Painted frogfish (0.7102); R5: Ocellaris clownfish (0.7017)
fish-image/Redtail-butterflyfish/redtail-butterflyfish-001.png,Redtail butterflyfish,### Image Description  The image depicts a school of fish swimming together in a coral reef environm...,Redtail butterflyfish,0.7776,TRUE,R1: Redtail butterflyfish (0.7776); R2: Latticed butterflyfish (0.7458); R3: Eightband butterflyfish (0.7316); R4: Indian vagabond butterflyfish (0.7288); R5: Scrawled butterflyfish (0.7286)
fish-image/Redtoothed-triggerfish/redtoothed-triggerfish-001.png,Redtoothed triggerfish,"## Image Description The image presents a close-up view of a **blue tang fish**, likely an *Acanthur...",Pennant coralfish,0.7650,FALSE,R1: Pennant coralfish (0.7650); R2: Blue ring angelfish (0.7634); R3: Blueface angelfish (0.7540); R4: Blue triggerfish (0.7523); R5: Royal angelfish (0.7494)
fish-image/Ribbon-eel/ribbon-eel-001.png,Ribbon eel,### Image Description  The image depicts an underwater scene featuring a **black snake eel** (or pos...,Crocodile snake eel,0.7826,TRUE,R1: Crocodile snake eel (0.7826); R2: Laced moray (0.7403); R3: Fimbriated moray (0.7401); R4: Spotted garden eel (0.7316); R5: Ribbon eel (0.7309)
fish-image/Royal-angelfish/royal-angelfish-001.png,Royal angelfish,### Image Description  The image depicts an underwater scene featuring a fish swimming near a coral ...,Latticed butterflyfish,0.7840,FALSE,R1: Latticed butterflyfish (0.7840); R2: Redtail butterflyfish (0.7624); R3: Eightband butterflyfish (0.7611); R4: Scrawled butterflyfish (0.7605); R5: Pennant coralfish (0.7555)
fish-image/Schooling-bannerfish/schooling-bannerfish-001.png,Schooling bannerfish,### Image Description  The image captures three Moorish idols swimming in an aquarium.   *   **Main ...,Painted frogfish,0.7125,FALSE,R1: Painted frogfish (0.7125); R2: Indian vagabond butterflyfish (0.7009); R3: Clearfin lionfish (0.6983); R4: Ocellaris clownfish (0.6965); R5: Yellow boxfish (0.6914)
fish-image/Scrawled-butterflyfish/scrawled-butterflyfish-001.png,Scrawled butterflyfish,"## Image Description The image presents a close-up view of a fish, likely an **Emperor Angelfish** (...",Emperor angelfish,0.8515,FALSE,R1: Emperor angelfish (0.8515); R2: Royal angelfish (0.7942); R3: Blue ring angelfish (0.7714); R4: Blueface angelfish (0.7634); R5: Painted frogfish (0.7590)
fish-image/Scrawled-filefish/scrawled-filefish-001.png,Scrawled filefish,"### Image Description   The image depicts a vibrant fish against a stark black background, showcasin...",Blue triggerfish,0.8440,FALSE,R1: Blue triggerfish (0.8440); R2: Orange-lined triggerfish (0.8337); R3: Yellowmargin triggerfish (0.8207); R4: Titan triggerfish (0.8202); R5: Redtoothed triggerfish (0.8116)
fish-image/Shovelnose-guitarfish/shovelnose-guitarfish-001.png,Shovelnose guitarfish,### Image Description The image shows an **albino stingray** swimming underwater against a dark blue...,Blue ring angelfish,0.7663,FALSE,R1: Blue ring angelfish (0.7663); R2: Manta ray (0.7645); R3: Bluespotted ribbontail ray (0.7640); R4: Royal angelfish (0.7523); R5: Blueface angelfish (0.7429)
fish-image/Spot-fin-porcupinefish/spot-fin-porcupinefish-001.png,Spot fin porcupinefish,"## Image Description The image presents a close-up view of a pufferfish swimming underwater, showcas...",White-spotted puffer,0.8106,TRUE,R1: White-spotted puffer (0.8106); R2: Blackspotted puffer (0.7805); R3: Spot-fin porcupinefish (0.7770); R4: Yellow boxfish (0.7768); R5: Pennant coralfish (0.7765)
fish-image/Spotted-eagle-ray/spotted-eagle-ray-001.png,Spotted eagle ray,### Image Description  The image depicts an underwater scene featuring a spotted eagle ray swimming ...,Spotted eagle ray,0.8307,TRUE,R1: Spotted eagle ray (0.8307); R2: Bluespotted ribbontail ray (0.7423); R3: Spotted garden eel (0.7345); R4: Manta ray (0.7290); R5: Fimbriated moray (0.7150)
fish-image/Spotted-garden-eel/spotted-garden-eel-001.png,Spotted garden eel,### Image Description  The image shows a group of **Spotted Garden Eels** (*Heteroconger hassi*) par...,Spotted garden eel,0.8060,TRUE,R1: Spotted garden eel (0.8060); R2: Crocodile snake eel (0.6952); R3: Fimbriated moray (0.6872); R4: Laced moray (0.6847); R5: Spotted eagle ray (0.6805)
fish-image/Stellate-puffer/stellate-puffer-001.png,Stellate puffer,## Description of the Image  The image depicts an underwater scene featuring a large pufferfish swim...,White-spotted puffer,0.7535,FALSE,R1: White-spotted puffer (0.7535); R2: Pennant coralfish (0.7387); R3: Blackspotted puffer (0.7287); R4: Latticed butterflyfish (0.7266); R5: Spot-fin porcupinefish (0.7183)
fish-image/Streaked-spinefoot/streaked-spinefoot-001.png,Streaked spinefoot,"### Description of the Image  The image depicts a fish swimming underwater, showcasing its vibrant c...",Painted frogfish,0.7520,FALSE,R1: Painted frogfish (0.7520); R2: Blue ring angelfish (0.7519); R3: Yellow boxfish (0.7473); R4: Spot-fin porcupinefish (0.7456); R5: Eightband butterflyfish (0.7390)
fish-image/Tassled-scorpionfish/tassled-scorpionfish-001.png,Tassled scorpionfish,"### Description of the Image  The image appears to depict a close-up view of a marine creature, like...",Tassled scorpionfish,0.7693,TRUE,R1: Tassled scorpionfish (0.7693); R2: Pennant coralfish (0.7587); R3: False stonefish (0.7509); R4: Coral hind (0.7494); R5: Yellow longnose Butterflyfish (0.7477)
fish-image/Teira-batfish/teira-batfish-001.png,Teira batfish,## Image Description  The image depicts an underwater scene featuring a fish swimming near the ocean...,Pennant coralfish,0.7370,FALSE,R1: Pennant coralfish (0.7370); R2: Coral hind (0.7319); R3: Indian vagabond butterflyfish (0.7316); R4: Painted frogfish (0.7309); R5: Schooling bannerfish (0.7272)
