Fish Name,Physical Description
Latticed butterflyfish,Yellow to greenish body covered in a dark lattice or cross-hatch pattern.
Leopard shark,Elongated body; pale skin with prominent dark saddles and spots resembling a leopard pattern.
Little dragonfish,"Small, flattened body; cryptic coloration (red, brown, or grey) to blend with sand; crawls on bottom."
Manta ray,"Massive, diamond-shaped body with cephalic fins (horns) near wide mouth; black and white coloration."
Map puffer,Pale body covered in an intricate pattern of broken black lines (map-like); dark blotch below the eye.
Moorish idol,"Disc-shaped body; vertical bands of black, white, and yellow; long white dorsal streamer."
Ocellaris clownfish,Bright orange body with three white vertical bands edged in thin black lines.
Orange-lined triggerfish,Dark brown or black body with diagonal orange lines; orange stripe on the mouth.
Ornate ghost pipefish,"Small, spiky body with elaborate fins; coloration mimics crinoids or weeds (red, black, yellow)."
Painted frogfish,"Round, lumpy body; highly variable colors (often with spots or patches) to mimic sponges."
Palette surgeonfish,Royal blue body with a black palette-shaped marking on the sides; bright yellow tail.
Pennant coralfish,White body with two broad black vertical bands; extremely long white dorsal fin filament.
Pickhandle barracuda,Silver body with distinct dark J-shaped or pickhandle-shaped marks along the sides.
Pink skunk clownfish,Peach to pinkish-orange body; single white stripe running along the top of the back.
Potato cod,"Large, heavy-bodied grouper; light grey/brown with large potato-shaped dark brown spots."
Powderblue surgeonfish,Light blue body; bright yellow dorsal fin; dark face mask; white chest.
Red fire goby,"White anterior body; bright red/orange posterior body; long, erect dorsal spine."
Red lionfish,"Reddish-brown and white vertical stripes; very long, feathery pectoral and dorsal spines."
Redtail butterflyfish,Dark body with a cross-hatch pattern; distinctive bright red or orange tail.
Redtoothed triggerfish,Deep blue to purple body; lyre-shaped tail; red teeth (often hidden).
Ribbon eel,"Extremely thin, ribbon-like body; bright blue with yellow dorsal fin (male) or all yellow (female/juvenile); flared nostrils."
Royal angelfish,"Vertical bars of bright orange, white, and blue; very vivid and colorful."
Schooling bannerfish,White body with broad black bands; long white dorsal filament; resembles Pennant coralfish but schooling.
Scrawled butterflyfish,"White or yellow body covered in intricate, wavy dark lines or scrawls."
Scrawled filefish,"Elongated, compressed body; olive-brown with irregular blue lines and black spots."
Shovelnose guitarfish,"Flattened, triangular head shaped like a shovel; shark-like tail section; sandy brown color."
Spot-fin porcupinefish,Blowfish shape; pale body covered in small dark spots; covered in spines that lay flat.
Spotted eagle ray,Dark dorsal surface covered in white rings or spots; distinct head shape; long whip-like tail.
Spotted garden eel,"Very thin, worm-like body; white with many small black spots; usually seen sticking halfway out of sand."
Stellate puffer,"Large, globular body; pale skin covered in small black dots; dark spots on the back."
Streaked spinefoot,Yellow-brown body covered in wavy pale blue lines and spots.
Tassled scorpionfish,"Red, orange, or white mottled coloration; covered in skin flaps and tassels for camouflage."
Teira batfish,"Large, disc-shaped silvery body; dark vertical band through the eye and body; yellowish pectoral fins."
Titan triggerfish,"Large, robust body; dark scales with dark margins; black moustache-like mark above mouth."
Tomato clownfish,Red-orange body; large single white vertical bar just behind the eye (adults).
Trumpetfish,"Long, stick-like body; tubular snout; variable color (yellow, brown, or grey)."
Whale shark,"Massive, dark grey body covered in white spots and pale vertical stripes; wide, flat mouth."
White-spotted boxfish,Box-shaped body; dark brown/black with distinct white spots; males have blue sides.
White-spotted puffer,Brown or greyish body covered in distinct white spots; prickly texture.
Whitetip reef shark,Slender grey body; distinct white tips on the dorsal and upper tail fins.
Yellow boxfish,Box-shaped; bright yellow with black spots (juvenile) or brownish with blue spots (adult).
Yellow longnose butterflyfish,"Bright yellow body; extremely long, tubular snout; black eye spot."
Yellowback fusilier,Blue and silver body; distinct bright yellow stripe running along the back and top of tail.
Yellowmargin triggerfish,Pinkish-brown or grey body; fins edged in yellow; cross-hatch pattern on cheeks.
Yellowspotted trevally,Silvery-grey body; gold or orange spots scattered on the sides.
Yellowtail barracuda,"Slender, silver body; yellowish tail fin; faint stripes on side."
Zebra shark,Cylindrical body with long tail; pale yellow with dark spots (adults); dark bands (juveniles).
Zebra turkeyfish,Reddish-brown and white vertical bars; large pectoral fins joined by membrane (unlike lionfish).
