Fish Name, Thai Fish Name, Scientific Name, Order Name, General Description, Physical Description, habitat, Avg Length, Avg Age, Avg DepthLevel, Avg Weight
Bluespotted ribbontail ray, ปลากระเบนคาดฟ้า, Taeniura lymma, Myliobatiformes, "A beautiful small stingray with electric blue spots on yellowish background and blue tail stripes. Nocturnal feeder following tides onto sandy flats. Hides in caves during day. Popular but challenging in aquarium trade. Classified as Near Threatened.", "Oval pectoral fin disc, large protruding eyes, thick depressed tail with deep fin fold underneath, striking coloration of numerous circular neon blue spots on yellowish brown or green background, two blue stripes on tail, bright yellow eyes, white belly", "Coral reefs and adjacent sandy flats in tropical Indo-Pacific from intertidal zone to 30m depth, common in tidal pools and near seagrass beds", 35 cm, 15 years, 30 m, 5 kg
Bowmouth guitarfish, ปลากระเบนหัวคันธนู, Rhina ancylostoma, Rhinopristiformes, "A rare, heavily built ray with a rounded snout, shark-like fins, and thorny ridges. Found in tropical Indo-Pacific coastal waters, it preys on fish and crustaceans. Critically endangered due to fishing and habitat loss; adapts well to captivity.", "Wide thick body, rounded snout, large dorsal and tail fins, W-shaped mouth, thorny ridges on head and back, bluish gray to brown with white spots, black markings over pectoral fins, crescent-shaped caudal fin, grainy dorsal texture.", "Sandy or muddy sea floors near reefs and underwater structures in western Indo-Pacific, 3–90 m depth.", 270 cm, 25 years, 90 m, 135 kg
Shovelnose guitarfish, ปลาโรนันหัวเสียม, Rhinobatos productus, Rajiformes, "A ray with primitive features of both sharks and rays, found from central California to the Gulf of California. Mature at 7–8 years, it reaches up to 137 cm. Notable for magnetic particles in vestibular receptors. Conservation is important due to genetic diversity.", "Flattened body, elongated snout resembling a shovel, two dorsal fins, shark-like tail, grayish to brown coloration, ventral side pale, large eyes, robust pectoral fins, magnetic particles in vestibular system, advanced visual system.", "Sandy bottoms and shallow coastal waters from central California to Gulf of California.", 137 cm, 11 years, 50 m, 20 kg
Commerson's frogfish, ปลากบ, Antennarius commerson, Lophiiformes, "A solitary, benthic predator with a globular, extensible body and variable coloration. Uses a lure to ambush prey, often matching its environment. Found in tropical Indo-Pacific lagoons and reefs, associated with sponges. Grows up to 38 cm; carnivorous and aggressive.", "Globular extensible body, soft skin with spinules, wartlike protuberances, variable color (grey, black, cream, pink, yellow, red, brown), large prognathous mouth, modified illicium with esca, angled pectoral fins, small eye spots, up to 38 cm.", "Lagoons, sheltered rocky and coral reefs, often near sponges or structures, tropical Indo-Pacific, 1–70 m depth.", 38 cm, 7 years, 20 m, 1 kg
Painted frogfish, ปลากบลายเขียน, Antennarius pictus, Lophiiformes, "A benthic ambush predator with a globular, extensible body and highly variable coloration. Uses a lure to attract prey, often matching sponges or reef backgrounds. Found in Indo-Pacific reefs and lagoons, down to 75 m. Grows up to 30 cm; carnivorous.", "Globular extensible body, soft skin with spinules, wart-like protuberances, many ocelli, large prognathous mouth, modified illicium with esca, angled pectoral fins, color ranges from white to black, cream, pink, yellow, red, brown, three eye spots on caudal fin.", "Sheltered rocky and coral reefs, often near sponges, Indo-Pacific, Red Sea to Hawaii, 0–75 m depth (average 15 m).", 30 cm, 7 years, 75 m, 0.8 kg
Crocodile snake eel, ปลาไหลมอเรย์หน้าปาน, Brachysomophis crocodilinus, Anguilliformes, "A tropical marine eel with a crocodilian appearance, found in Indo-Pacific coral reefs. Burrows in sand, ambushing prey with only eyes exposed. Diet includes octopus and fish. Grows up to 120 cm. Used in Chinese medicine; harmless to humans.", "Eel-like, cylindrical body; snout very short; jaws elongate; small eyes placed forward; dorsal fin arises well behind pectoral tips; teardrop-shaped pectoral fins; numerous labial cirri; flesh above and behind eye elevated as a ridge; conical teeth; dark spots on head and body.", "Coral reefs, sandy bottoms, lagoons; Indo-Pacific (East Africa, Society Islands, Japan, Australia); depth 0–30 m (most common 0–2 m).", 120 cm, 10 years, 30 m, 1.2 kg
Laced moray, ปลาหลดหินลายตาข่าย, Gymnothorax favagineus, Anguilliformes, "A large, carnivorous moray eel with a serpentine body and honeycomb pattern of black spots on white or yellowish skin. Found in Indo-West Pacific coral reefs, it shelters in crevices by day and hunts fish and cephalopods at night. Can reach 300 cm.", "Eel-like, compressed body; white to yellowish background with numerous black spots (honeycomb pattern); spots vary by environment; large mouth; no pectoral fins; dorsal fin runs length of body; aggressive in large adults.", "Outer slopes of coral reefs, crevices; Indo-West Pacific (East Africa, Red Sea, Papua New Guinea, Japan, Great Barrier Reef); depth 1–50 m.", 300 cm, 20 years, 50 m, 23 kg
Fimbriated moray, ปลาไหลมอเรย์หน้าปาน, Gymnothorax fimbriatus, Anguilliformes, "A medium-sized carnivorous moray eel with a serpentine body, cream to light brown with black spots. Found in Indo-Pacific reefs, lagoons, and harbors, it shelters in crevices by day and hunts fish and crustaceans at night. Can reach 93 cm.", "Eel-like, oval cross-section; white cream to light brown body with numerous black spots; head greenish-yellow with black dots, tapered snout, white mouth corners; spots larger in juveniles; dorsal fin runs length of body.", "Protected areas of outer coral reefs, lagoons, harbors; Indo-Pacific (Madagascar to Polynesia, Japan to New Caledonia); depth 0–50 m.", 93 cm, 18 years, 50 m, 1.5 kg
Giant moray, ปลาไหลมอเรย์ยักษ์, Gymnothorax javanicus, Anguilliformes, "The giant moray is the largest moray eel by mass, reaching up to 3 meters and 30 kg. It is nocturnal, carnivorous, and hunts cooperatively with coral groupers. Widespread in Indo-Pacific coral reefs, it is known to prey on lionfish.", "Elongated brownish body, adults with black specks grading into leopard-like spots behind the head, juveniles tan with large black spots, large mouth, no pectoral fins, dorsal fin runs length of body.", "Lagoons and outer slopes of coral reefs, crevices, Indo-Pacific (East Africa, Red Sea, Hawaii, Polynesia, Japan, New Caledonia, Fiji, Austral Islands), 1–50 m depth.", 300 cm, 30 years, 50 m, 30 kg
Greyface moray eel, ปลาไหลมอเรย์ตาขาว, Gymnothorax thyrsoideus, Anguilliformes, "The greyface moray is a medium-sized, carnivorous eel reaching up to 66 cm. It is nocturnal and benthic, hunting small fish and crustaceans at night. Widespread in Indo-Pacific, it prefers shallow, turbid lagoons and protected reefs, often sheltering with other morays.", "Serpentine body, brown-yellowish background with many small dark spots, head grey to brownish with distinctive white eyes, slender form, no pectoral fins, dorsal fin runs length of body.", "Shallow, turbid lagoons, protected reefs, debris-rich areas, Indo-Pacific (India, Maldives, Polynesia, Japan, Australia, New Caledonia), surface to 35 m depth.", 40 cm, 15 years, 35 m, 0.5 kg
Spotted garden eel, ปลาไหลสวนลายจุด, Heteroconger hassi, Anguilliformes, "The spotted garden eel is a slender, colony-forming eel found in Indo-Pacific sandy areas near coral reefs at depths of 7–45 m. It feeds on drifting zooplankton by pointing its mouth into the current. Grows up to 40 cm; lives in burrows.", "Slender, elongated body up to 40 cm long and 14 mm diameter, white to pale yellow with numerous small black spots, pointed snout, small mouth, large eyes, tail tapers to a fine point.", "Sandy burrows in colonies near coral reefs, Indo-Pacific (Red Sea, East Africa, Japan, Indonesia, Australia), 7–45 m depth.", 40 cm, 10 years, 30 m, 0.1 kg
Ribbon eel, ปลาไหลริบบิ้น, Rhinomuraena quaesita, Anguilliformes, "The ribbon eel is an elegant, protandric hermaphrodite moray found in Indo-Pacific lagoons and reefs. It displays striking color changes: juveniles are black, males blue, and females yellow. Grows up to 130 cm. Not threatened; popular but challenging in aquariums.", "Long, thin body resembling a mythical dragon, high dorsal fin, expanded anterior nostrils, color varies by age and sex (black with yellow dorsal, blue, or yellow), adult males 65–94 cm, females up to 130 cm.", "Sandy burrows, caves, and coral reefs in Indo-Pacific (East Africa, Japan, Australia, French Polynesia), lagoons and reef slopes, 3–60 m depth.", 100 cm, 15 years, 30 m, 0.8 kg
Scrawled filefish, ปลาวัวหางพัด, Aluterus scriptus, Tetraodontiformes, "The scrawled filefish is a medium-sized, shy, diurnal fish found in tropical oceans worldwide. It inhabits lagoons, coral and rocky reefs, and open water. Grows up to 110 cm. Its coloration varies with environment, featuring blue lines, spots, and a broom-like tail.", "Elongated oval, strongly compressed body; olive-brown or grey with irregular blue lines and spots, black spots on head; small mouth at pointed snout; no pelvic fin; two dorsal spines (one long, erectile); rounded, fan-like caudal fin; juveniles yellow with black spots.", "Lagoons, coral and rocky reefs, seaweed fields, pinnacles, wrecks, open water; circumtropical (Atlantic, Indian, Pacific Oceans).", 80 cm, 15 years, 30 m, 3 kg
White-spotted puffer, ปลาปักเป้ายักษ์แต้มขาว, Arothron hispidus, Tetraodontiformes, "The white-spotted puffer is a medium to large nocturnal, solitary fish found in Indo-Pacific reefs, lagoons, and tidepools at depths of 3–35 m. It reaches up to 50 cm, is territorial, and feeds on algae, molluscs, sponges, corals, and invertebrates.", "Light grey, greyish, or yellowish body with regular white spots; concentric white and dark grey lines radiate around eyes and pectoral fins; ventral side white; dark shoulder; robust, rounded body; small mouth; no pelvic fins.", "Reefs, lagoons, estuaries, tidepools; Indo-Pacific (Red Sea to eastern Pacific), 3–35 m depth.", 40 cm, 12 years, 20 m, 1.2 kg
Map puffer, ปลาปักเป้าหน้าลาย, Arothron mappa, Tetraodontiformes, "The map puffer is a medium-sized, solitary, diurnal fish found in tropical Indo-Pacific reefs and lagoons, from the surface to 30 m. It grows up to 65 cm, is toxic, and feeds on benthic invertebrates, sponges, and algae. Notable for its intricate body pattern.", "Oval, spherical yet elongated body; whitish background with dense network of black, brown, or greenish broken lines; irradiant lines from eyes; short snout with two pairs of nostrils; terminal mouth with four strong teeth; no pelvic fin or lateral line; small dorsal and anal fins.", "Reef drop-offs, sheltered lagoons, tropical/subtropical Indo-Pacific (Indian Ocean to western Pacific), surface to 30 m depth.", 50 cm, 10 years, 20 m, 1.0 kg
Blackspotted puffer, ปลาปักเป้าหน้าหมา, Arothron nigropunctatus, Tetraodontiformes, "The blackspotted puffer is a small, solitary, territorial fish found in tropical Indo-Pacific reefs and lagoons, from the surface to 25 m. It grows up to 33 cm, is toxic, and feeds on benthic invertebrates, sponges, algae, corals, crustaceans, and mollusks. Coloration is highly variable.", "Oval, spherical yet elongated body; variable coloration (grey, brown, blue, yellow, orange, bi-color); dark blotches on skin; dark around eyes and mouth; short snout with two pairs of nostrils; terminal mouth with four strong teeth; no pelvic fin or lateral line; small dorsal and anal fins.", "External reef slopes, lagoons, tropical Indo-Pacific (Indian Ocean to central Pacific, except Red Sea), surface to 25 m depth.", 25 cm, 8 years, 15 m, 0.7 kg
Stellate puffer, ปลาปักเป้าก้นดำ, Arothron stellatus, Tetraodontiformes, "The stellate puffer is a large, solitary, diurnal fish found in tropical Indo-Pacific reefs, lagoons, and sandy areas from the surface to 58 m. It grows up to 120 cm, is toxic, and feeds on benthic invertebrates, sponges, algae, corals, crustaceans, and mollusks. Spot size decreases with age.", "Oval, spherical, elongated body; prickly skin; white to grey with black spots (spot size inversely proportional to fish size); ventral area clearer; large head, short snout with two pairs of nostrils; terminal mouth with four strong teeth; no pelvic fin or lateral line; small dorsal and anal fins; juveniles yellowish with dark stripes.", "External reef slopes, sheltered lagoons, sandy areas, tropical/subtropical Indo-Pacific (Indian Ocean, Red Sea, Polynesia, Japan, Australia, Lord Howe Island), surface to 58 m depth.", 80 cm, 15 years, 30 m, 7 kg
Orange-lined triggerfish, ปลาวัวลายส้ม, Balistapus undulatus, Tetraodontiformes, "A territorial, diurnal triggerfish with striking orange lines on a dark body. Found in Indo-Pacific coral reefs, it is a key predator of burrowing sea urchins, helping maintain reef health. Solitary, aggressive, and omnivorous, reaching up to 30 cm.", "Stocky, oval, laterally compressed body; dark brown to green with orange lines; large head; small terminal mouth with strong teeth; three-spined dorsal fin (first spine long, erectile); orange caudal fin; block spot near peduncular spines; sexual dimorphism in snout and size.", "Coral reefs, lagoons, and external reef slopes in Indo-Pacific, Red Sea, East Africa, and Japan; prefers depths of 2–50 m, adults favor rocky/branching coral, juveniles softer substrates.", 30 cm, 10 years, 20 m, 0.7 kg
Clown triggerfish, ปลาวัวมงกุฎ, Balistoides conspicillum, Tetraodontiformes, "A striking, solitary triggerfish with bold black and white spots and yellow markings. Found on clear external reef slopes in the Indo-Pacific, it is territorial and aggressive. Feeds on benthic invertebrates; popular but demanding in aquariums. Grows up to 50 cm.", "Stocky, oval, laterally compressed body; large head; small terminal mouth with strong teeth; three-spined dorsal fin (first spine long, erectile); black body with large white spots on lower half; yellowish network near dorsal fin; yellow ring around mouth; white stripe under eyes; yellow and black caudal fin; juveniles with small white spots.", "External reef slopes with clear water in tropical/subtropical Indian and western Pacific Oceans; adults to 75 m, juveniles below 20 m near caves/overhangs.", 40 cm, 10 years, 30 m, 1.2 kg
Titan triggerfish, ปลาวัวไททัน, Balistoides viridescens, Tetraodontiformes, "The largest triggerfish in the Indo-Pacific, titan triggerfish is solitary, diurnal, and highly territorial, especially during nesting. It feeds on sea urchins, molluscs, crustaceans, and coral, often stirring up sand and rocks. Can be aggressive toward intruders; grows up to 75 cm.", "Robust, oval, laterally compressed body; large head; small terminal mouth with strong teeth; three-spined dorsal fin (first spine long, erectile); greenish to yellowish body with dark bands; prominent moustache-like markings; strong jaws; up to 75 cm long.", "Lagoons and coral reefs throughout Indo-Pacific (except Hawaii), to depths of 50 m; nests in flat sandy areas, highly territorial during breeding.", 60 cm, 15 years, 25 m, 4 kg
Spot-fin porcupinefish, ปลาปักเป้าหนามทุเรียนครีบจุด, Diodon hystrix, Tetraodontiformes, "A solitary, nocturnal porcupinefish found in tropical and subtropical seas worldwide. Inflates and raises spines for defense, with tetrodotoxin in organs. Shelters in reefs and caves by day, feeds on sea urchins, gastropods, and crustaceans. Grows up to 91 cm.", "Elongated body, spherical head, large protruding eyes, big mouth, large pectoral fins, no pelvic fins, anal and dorsal fins near caudal peduncle, beige to sandy-yellow with dark blotches and small black spots, skin with spines, inflates when threatened.", "Tropical/subtropical oceans globally, including Mediterranean; juveniles pelagic to 20 cm, adults in lagoons, coral/rocky reefs, 1–50 m depth, sheltering under ledges/caves.", 40 cm, 12 years, 20 m, 2.5 kg
Redtoothed triggerfish, ปลาวัวดำ, Odonus niger, Tetraodontiformes, "A dark blue, highly maneuverable triggerfish found in tropical Indo-Pacific reefs and open waters. Noted for its red teeth, lyre-shaped caudal fin, and unique swimming style. Often seen in groups near the surface, feeding on plankton and sponges. Grows up to 50 cm.", "Dark blue body, blue-green fins with yellow and light blue trim, lyre-shaped caudal fin with yellow bar, small pectoral fins, retractable dorsal spine, red teeth, streamlined shape, up to 50 cm long.", "Open waters and current-swept seaward reefs in tropical Indo-Pacific, 0–35 m depth; often seen circling in groups near the surface.", 30 cm, 8 years, 20 m, 0.9 kg
Yellow boxfish, ปลาปักเป้ากล่องเหลืองลายจุดดำ, Ostracion cubicus, Tetraodontiformes, "A solitary, box-shaped reef fish found in Indo-Pacific and Atlantic oceans. Juveniles are bright yellow with black spots, fading with age. Feeds on algae, sponges, crustaceans, and mollusks. Releases toxic proteins when stressed; warning coloration deters predators. Grows up to 45 cm.", "Box-shaped body; juveniles bright yellow with black spots, adults blue-grey with faded yellow; small mouth; rigid bony carapace; rounded fins; releases toxins from skin; up to 45 cm long.", "Coral and rocky reefs in Pacific, Indian, and SE Atlantic oceans; solitary, found at depths of 1–40 m.", 25 cm, 10 years, 15 m, 0.6 kg
White-spotted boxfish, ปลากล่องลายจุดขาว, Ostracion meleagris, Tetraodontiformes, "A box-shaped reef fish found in Indo-Pacific reefs at depths of 1–30 m. Males are black with white spots and blue sides with yellow bands; females and juveniles are dark brown to black with white spots. Grows up to 25 cm; feeds on benthic invertebrates.", "Box-shaped body; males blackish with white spots, blue sides, yellow bands and spots; females/juveniles dark brown to blackish with white spots; small mouth; rigid bony carapace; rounded fins; up to 25 cm long.", "Coral and rocky reefs in Indian and Pacific Oceans, 1–30 m depth.", 18 cm, 8 years, 15 m, 0.4 kg
Yellowmargin triggerfish, ปลาสินสมุทรขอบเหลือง, Pseudobalistes flavimarginatus, Tetraodontiformes, "A large, solitary triggerfish found in Indo-Pacific reefs from the Red Sea to Samoa. Noted for its yellow-edged fins and robust body, it is oviparous and aggressively guards nests. Grows up to 60 cm; may cause ciguatera poisoning if consumed.", "Stocky, oval, laterally compressed body; olive to brownish with yellow margins on fins; large head; small terminal mouth with strong teeth; three-spined dorsal fin (first spine long, erectile); yellow facial markings; up to 60 cm long.", "Coral reefs, lagoons, and coastal waters in Indo-Pacific (Red Sea, South Africa, Japan, Indonesia, Philippines, Samoa); found at depths of 2–50 m.", 50 cm, 12 years, 25 m, 2.5 kg
Blue triggerfish, ปลาสินสมุทรน้ำเงิน, Pseudobalistes fuscus, Tetraodontiformes, "A large, aggressive triggerfish found in Indo-Pacific reefs from the Red Sea to New Caledonia. Noted for its blue and yellow coloration and biting behavior, it feeds on shellfish and crustaceans. Grows up to 55 cm; divers avoid due to territorial nature.", "Stocky, oval, laterally compressed body; brown with yellow margins on fins; juveniles yellowish brown with blue wavy lines; large head; small terminal mouth with strong teeth; three-spined dorsal fin (first spine long, erectile); up to 55 cm long.", "Reef-associated, coastal waters, shallow lagoons, and seaward reefs in Indo-Pacific (Red Sea, South Africa, Society Islands, Japan, Australia, New Caledonia); found at depths of 30–50 m.", 45 cm, 10 years, 40 m, 2.2 kg
Halfmoon triggerfish, ปลาสินสมุทรครึ่งพระจันทร์, Sufflamen chrysopterum, Tetraodontiformes, "A solitary triggerfish found in tropical Indo-West Pacific reefs and lagoons. Noted for its halfmoon-shaped caudal fin and vibrant colors, it feeds on small invertebrates like crustaceans and worms. Grows up to 25 cm; often seen near coral.", "Oval, laterally compressed body; brown to grey with yellowish fins; halfmoon-shaped caudal fin; small mouth with strong teeth; blue lines on face; yellow pectoral and caudal fins; up to 25 cm long.", "Seaward reefs and shallow lagoons in tropical Indo-West Pacific; solitary, found near coral at depths of 2–30 m.", 20 cm, 8 years, 15 m, 0.5 kg
Zebra turkeyfish, ปลาสิงโตลายม้าลาย, Dendrochirus zebra, Scorpaeniformes, "A striking, bottom-dwelling lionfish found in Indo-West Pacific reefs and lagoons. Noted for its orange, white, and black stripes and large fan-like pectoral fins, it has 13 venomous dorsal spines. Grows up to 24 cm; feeds on small crustaceans.", "Stocky body with vertical orange, white, and black stripes; large, banded fan-like pectoral fins; 13 tall, quill-like venomous dorsal spines; rounded caudal fin; banded anal and dorsal fins; up to 24 cm long.", "Coral, pebble, and rock bottoms on reef flats, outer reefs, lagoons, and caves in Indo-West Pacific (Red Sea, Indonesia, Australia); found at depths of 1–80 m.", 20 cm, 8 years, 40 m, 0.4 kg
Clearfin lionfish, ปลาสิงโตครีบใส, Pterois radiata, Scorpaeniformes, "A nocturnal, carnivorous lionfish found in rocky reefs of the western Indo-Pacific. Noted for its clear, unbanded fins and two white stripes on the caudal peduncle, it has 12–13 venomous dorsal spines. Grows up to 24 cm; feeds on crabs and shrimps.", "Reddish-brown body with six vertical dark bands separated by thin white lines; clear, unbanded pectoral and other fins; 12–13 long venomous dorsal spines; two horizontal white stripes on caudal peduncle; up to 24 cm long.", "Rocky reefs, caves, and crevices in western Indo-Pacific (South Africa, Red Sea, Indonesia, Society Islands, Ryukyu Islands, Australia, New Caledonia); found at depths of 1–25 m.", 20 cm, 8 years, 15 m, 0.4 kg
Red lionfish, ปลาสิงโตแดง, Pterois volitans, Scorpaeniformes, "A large, venomous lionfish native to Indo-Pacific reefs, now invasive in the Atlantic and Caribbean. Noted for its red and white stripes and long, fan-like spines, it is a voracious nocturnal predator. Grows up to 47 cm; lives about 10 years.", "Elongated body with alternating red/maroon/brown and white stripes; large, fan-like venomous spines; long pectoral fins; dorsal, anal, and pelvic spines protrude like a mane; juveniles under 1 cm, adults up to 47 cm.", "Coral reefs, rocky areas, lagoons in Indo-Pacific (native) and Atlantic/Caribbean (invasive); found at depths of 1–50 m.", 35 cm, 10 years, 25 m, 0.8 kg
False stonefish, ปลาหินเทียม, Scorpaenopsis diabolus, Scorpaeniformes, "A venomous, bottom-dwelling scorpionfish found in tropical Indian and Pacific Oceans. Expertly camouflaged among rocks and coral, it ambushes prey and flashes its pectoral fins as a warning. Exhibits biofluorescence; can reach 30 cm.", "Broad head with wide mouth, humped back, tapering body; rough skin with conical projections, spines, and tassels; mottled grey, white, and reddish-brown blotches; 12 venomous dorsal spines; large pectoral fins with orange, black, and white blotches; well-camouflaged among stones and corals.", "Seabed among rubble, seaweed-covered rocks, or coralline algae on reef flats, lagoons, and seaward reefs; Indian and Pacific Oceans from Africa and Red Sea to Japan, Hawaii, Australia, and New Caledonia; depths to 70 m.", 25 cm, 10 years, 35 m, 0.7 kg
Tassled scorpionfish, ปลาหินหนามพู่, Scorpaenopsis oxycephala, Scorpaeniformes, "A venomous, carnivorous scorpionfish found in Indian and Pacific Oceans. Noted for its tassels below the jaw and variable coloration, it is well-camouflaged among reefs. Adults reach up to 36 cm; painful if stepped on due to venomous spines.", "Broad, bearded head with numerous tassels below jaw; rough, spiny skin; variable coloration (brown, red, yellow, green, mottled); small scales; large pectoral fins; dorsal fin with venomous spines; cryptic appearance among coral and rocks.", "Reef slopes and coral areas in Indian and Pacific Oceans; found at depths of 1–35 m; often in shallow waters where swimmers may encounter them.", 30 cm, 10 years, 20 m, 0.8 kg
Powderblue surgeonfish, ปลาหมอทะเลฟ้าผง, Acanthurus leucosternon, Perciformes, "A vibrant, oval-shaped surgeonfish found in tropical Indian Ocean reefs. Noted for its powder blue sides, yellow dorsal fin, and black head, it is herbivorous and territorial. Grows up to 23 cm; prized in aquariums for its striking coloration.", "Oval, laterally compressed body; powder blue sides; yellow dorsal fin and caudal base; black head; white mouth, throat, anal and pelvic fins; transparent pectoral fins with yellow reflections; crescent-shaped caudal fin; small, pointed mouth with sharp teeth; surgeon's scalpel at tail base.", "Shallow, clear coastal waters and flat top reefs in tropical Indian Ocean; prefers areas along seaward slopes; always associated with coral reefs.", 20 cm, 8 years, 10 m, 0.3 kg
