Fish Name,Thai Fish Name,Scientific Name,Order Name,General Description,Physical Description,habitat,Avg Length,Avg Age,Avg DepthLevel,Avg Weight
Bluespotted ribbontail ray,ปลากระเบนคาดฟ้า,Taeniura lymma,Myliobatiformes,A beautiful small stingray with electric blue spots on yellowish background and blue tail stripes. Nocturnal feeder following tides onto sandy flats. Hides in caves during day. Popular but challenging in aquarium trade. Classified as Near Threatened.,"body_shape: dorsoventrally flattened; primary_colors: sandy yellow-brown to olive-green on dorsal surface; secondary_colors: white on ventral surface; markings: numerous vivid blue spots scattered across entire dorsal surface of disc; dorsal_fin: not typically visible; caudal_fin: elongated whip-like tail, not forked or rounded, with blue and black banding along the tail; unique_features: two blue stripes running along either side of the tail, bright electric blue spots densely covering the dorsal disc surface, one or two venomous tail spines near the base of the tail","Coral reefs and adjacent sandy flats in tropical Indo-Pacific from intertidal zone to 30m depth, common in tidal pools and near seagrass beds",35 cm,15 years,30 m,5 kg
Bowmouth guitarfish,ปลากระเบนหัวคันธนู,Rhina ancylostoma,Rhinopristiformes,"A rare, heavily built ray with a rounded snout, shark-like fins, and thorny ridges. Found in tropical Indo-Pacific coastal waters, it preys on fish and crustaceans. Critically endangered due to fishing and habitat loss; adapts well to captivity.","body_shape: dorsoventrally flattened; primary_colors: grey-brown to bluish-grey on dorsal surface, white on ventral surface; secondary_colors: white underside with pale margins along body edges; markings: numerous white spots scattered across the dorsal surface of the disc and body, dark black markings forming a ridge pattern along the shoulders and above the eyes; dorsal_fin: two prominent dorsal fins, shark-like in shape, grey-brown matching body coloration; caudal_fin: heterocercal, shark-like, elongated upper lobe, grey-brown in color; unique_features: strongly undulating ridge of sharp thorny tubercles running across the shoulder region and around the eye sockets forming distinctive black-bordered raised ridges, broadly rounded snout with wide mouth, shark-like tail combined with ray-like flattened disc","Sandy or muddy sea floors near reefs and underwater structures in western Indo-Pacific, 3EE90 m depth.",270 cm,25 years,90 m,135 kg
Shovelnose guitarfish,ปลาโรนันหัวเสียม,Rhinobatos productus,Rajiformes,"A ray with primitive features of both sharks and rays, found from central California to the Gulf of California. Mature at 7EE8 years, it reaches up to 137 cm. Notable for magnetic particles in vestibular receptors. Conservation is important due to genetic diversity.","body_shape: dorsoventrally flattened; primary_colors: sandy brown to olive-gray on dorsal surface; secondary_colors: pale white to cream on ventral surface; markings: generally plain and uniform dorsal coloration, lacking distinct spots or bars; dorsal_fin: two similar-sized dorsal fins positioned on the tail region, brownish matching body coloration; caudal_fin: small, triangular with a low upper lobe, brownish coloration; unique_features: distinctly elongated shovel-shaped snout forming a pointed translucent rostrum, guitar-shaped body with broad flattened pectoral disc anteriorly transitioning to a thick shark-like tail posteriorly, prominent spiracles visible behind eyes on dorsal surface",Sandy bottoms and shallow coastal waters from central California to Gulf of California.,137 cm,11 years,50 m,20 kg
Commerson's frogfish,ปลากบ,Antennarius commerson,Lophiiformes,"A solitary, benthic predator with a globular, extensible body and variable coloration. Uses a lure to ambush prey, often matching its environment. Found in tropical Indo-Pacific lagoons and reefs, associated with sponges. Grows up to 38 cm; carnivorous and aggressive.","body_shape: laterally compressed, globose and rounded; primary_colors: variable, commonly yellow, orange, white, or mottled brown; secondary_colors: pale cream or whitish on underside; markings: irregular dark brown or black blotches and patches scattered across entire body and fins, with highly variable camouflage patterning matching local substrate; dorsal_fin: first dorsal spine modified into a long illicium with a fleshy lure at the tip, second and third dorsal spines separate, remaining dorsal fin soft and rounded with mottled patterning matching body; caudal_fin: rounded, mottled with same irregular dark blotches as body; unique_features: large upturned mouth with highly distensible jaw, limb-like pectoral fins used for walking, lumpy warty skin texture with scattered dermal spinules giving rough appearance, illicium esca lure projecting from snout","Lagoons, sheltered rocky and coral reefs, often near sponges or structures, tropical Indo-Pacific, 1EE70 m depth.",38 cm,7 years,20 m,1 kg
Painted frogfish,ปลากบลายเขียน,Antennarius pictus,Lophiiformes,"A benthic ambush predator with a globular, extensible body and highly variable coloration. Uses a lure to attract prey, often matching sponges or reef backgrounds. Found in Indo-Pacific reefs and lagoons, down to 75 m. Grows up to 30 cm; carnivorous.","body_shape: globose, stocky and laterally compressed with a rounded sack-like body; primary_colors: highly variable, commonly yellow, orange, red, pink, white, or black; secondary_colors: pale or contrasting patches of white, brown, or cream on the sides and belly; markings: irregular blotches, spots, and reticulated patterns distributed across the entire body and fins, with fine dark-edged wart-like skin appendages scattered over the body surface; dorsal_fin: first dorsal spine modified into a long slender illicium topped with a fleshy esca lure, second and third dorsal spines short and separate, remaining dorsal fin rays rounded and matching body coloration with blotchy patterning; caudal_fin: rounded, with irregular blotches or spots matching body coloration; unique_features: large upward-facing mouth, globose sack-like body covered in spinulose skin and scattered dermal appendages, prominent illicium fishing lure projecting forward from snout, small round gill opening located just behind and below the pectoral fin base","Sheltered rocky and coral reefs, often near sponges, Indo-Pacific, Red Sea to Hawaii, 0EE75 m depth (average 15 m).",30 cm,7 years,75 m,0.8 kg
Crocodile snake eel,ปลาไหลมอเรย์หน้าปาน,Brachysomophis crocodilinus,Anguilliformes,"A tropical marine eel with a crocodilian appearance, found in Indo-Pacific coral reefs. Burrows in sand, ambushing prey with only eyes exposed. Diet includes octopus and fish. Grows up to 120 cm. Used in Chinese medicine; harmless to humans.","body_shape: elongated; primary_colors: pale yellowish-brown to tan; secondary_colors: cream to white on the ventral surface; markings: irregular dark brown blotches and spots scattered across the entire body length; dorsal_fin: low and continuous along the dorsal surface, pale with dark spotting matching the body pattern; caudal_fin: not typically visible; unique_features: distinctly large pointed snout resembling a crocodile, prominent dark spots covering the head and body, large nostrils visible on the snout tip, robust jaws with visible fang-like teeth","Coral reefs, sandy bottoms, lagoons; Indo-Pacific (East Africa, Society Islands, Japan, Australia); depth 0EE30 m (most common 0EE2 m).",120 cm,10 years,30 m,1.2 kg
Laced moray,ปลาหลดหินลายตาข่าย,Gymnothorax favagineus,Anguilliformes,"A large, carnivorous moray eel with a serpentine body and honeycomb pattern of black spots on white or yellowish skin. Found in Indo-West Pacific coral reefs, it shelters in crevices by day and hunts fish and cephalopods at night. Can reach 300 cm.","body_shape: elongated; primary_colors: brown to yellowish-brown; secondary_colors: pale yellow to cream on the underside; markings: dense network of dark brown irregular reticulated pattern covering the entire body creating a lace-like or honeycomb appearance; dorsal_fin: continuous low ridge running along the dorsal surface, brown with reticulated patterning matching the body; caudal_fin: rounded, continuous with dorsal and anal fin, brown with reticulated patterning; unique_features: anterior nostril forming a short distinct tube, reticulated lace-like pattern covering head and body uniformly including around the mouth region, no pectoral fins visible","Outer slopes of coral reefs, crevices; Indo-West Pacific (East Africa, Red Sea, Papua New Guinea, Japan, Great Barrier Reef); depth 1EE50 m.",300 cm,20 years,50 m,23 kg
Fimbriated moray,ปลาไหลมอเรย์หน้าปาน,Gymnothorax fimbriatus,Anguilliformes,"A medium-sized carnivorous moray eel with a serpentine body, cream to light brown with black spots. Found in Indo-Pacific reefs, lagoons, and harbors, it shelters in crevices by day and hunts fish and crustaceans at night. Can reach 93 cm.","body_shape: elongated; primary_colors: pale yellowish-brown to cream base color covering the entire body; secondary_colors: dark brown to black on the edges of the dorsal and anal fins; markings: dense covering of dark brown to black spots of varying sizes scattered uniformly across the entire body and head, giving a heavily spotted or mottled appearance; dorsal_fin: continuous along the dorsal surface from behind the head to the tail, edged with dark brown to black, spotted consistent with body pattern; caudal_fin: rounded, continuous with dorsal and anal fins, dark-edged with spotted patterning; unique_features: distinctive fimbriated or fringed anterior nostril tubes on the snout that are clearly visible, large mouth with visible sharp teeth, no pectoral or pelvic fins, heavily spotted pattern extending onto the head and snout","Protected areas of outer coral reefs, lagoons, harbors; Indo-Pacific (Madagascar to Polynesia, Japan to New Caledonia); depth 0EE50 m.",93 cm,18 years,50 m,1.5 kg
Giant moray,ปลาไหลมอเรย์ยักษ์,Gymnothorax javanicus,Anguilliformes,"The giant moray is the largest moray eel by mass, reaching up to 3 meters and 30 kg. It is nocturnal, carnivorous, and hunts cooperatively with coral groupers. Widespread in Indo-Pacific coral reefs, it is known to prey on lionfish.","body_shape: elongated; primary_colors: brownish-yellow to dark brown; secondary_colors: pale yellowish-cream on the lower jaw and throat region; markings: dense dark brown to black irregular spots and speckles covering the entire body from head to tail, spots becoming smaller and more numerous toward the rear of the body; dorsal_fin: continuous low ridge running along the entire dorsal surface, same coloration as body with dark spotting; caudal_fin: rounded, continuous with dorsal and anal fin, dark brown with spotted patterning; unique_features: large gaping mouth with prominent teeth, distinct dark brown to black spotting concentrated around the gill opening area forming a darker patch, nostrils visible as short tube-like projections on the snout","Lagoons and outer slopes of coral reefs, crevices, Indo-Pacific (East Africa, Red Sea, Hawaii, Polynesia, Japan, New Caledonia, Fiji, Austral Islands), 1EE50 m depth.",300 cm,30 years,50 m,30 kg
Greyface moray eel,ปลาไหลมอเรย์ตาขาว,Gymnothorax thyrsoideus,Anguilliformes,"The greyface moray is a medium-sized, carnivorous eel reaching up to 66 cm. It is nocturnal and benthic, hunting small fish and crustaceans at night. Widespread in Indo-Pacific, it prefers shallow, turbid lagoons and protected reefs, often sheltering with other morays.","body_shape: elongated; primary_colors: brown to dark brown overall body; secondary_colors: pale grey to white on the face and anterior head region; markings: small white or pale spots scattered across the body and fins, dense reticulated or mottled patterning on the posterior body; dorsal_fin: continuous low ridge running along the entire dorsal length, brown with pale spotting matching body pattern; caudal_fin: rounded, continuous with dorsal and anal fin, brown with pale spotting; unique_features: distinctly pale grey or white face contrasting sharply with the darker brown body, giving the species its common name, with prominent nostrils visible as short tubular projections on the snout","Shallow, turbid lagoons, protected reefs, debris-rich areas, Indo-Pacific (India, Maldives, Polynesia, Japan, Australia, New Caledonia), surface to 35 m depth.",40 cm,15 years,35 m,0.5 kg
Spotted garden eel,ปลาไหลสวนลายจุด,Heteroconger hassi,Anguilliformes,"The spotted garden eel is a slender, colony-forming eel found in Indo-Pacific sandy areas near coral reefs at depths of 7EE45 m. It feeds on drifting zooplankton by pointing its mouth into the current. Grows up to 40 cm; lives in burrows.","body_shape: elongated; primary_colors: pale white to light gray body with a yellow-tinged anterior region near the head; secondary_colors: creamy white along the lower body; markings: numerous small dark brown to black spots scattered across the entire body length, dense black patch on the anterior portion near the head, and a second prominent black blotch at the gill opening; dorsal_fin: not typically visible; caudal_fin: not typically visible; unique_features: distinct large black patch encircling the mouth and snout area, a bold black blotch at the gill region, and uniformly scattered dark spots covering the full length of the slender eel-like body","Sandy burrows in colonies near coral reefs, Indo-Pacific (Red Sea, East Africa, Japan, Indonesia, Australia), 7EE45 m depth.",40 cm,10 years,30 m,0.1 kg
Ribbon eel,ปลาไหลริบบิ้น,Rhinomuraena quaesita,Anguilliformes,"The ribbon eel is an elegant, protandric hermaphrodite moray found in Indo-Pacific lagoons and reefs. It displays striking color changes: juveniles are black, males blue, and females yellow. Grows up to 130 cm. Not threatened; popular but challenging in aquariums.","body_shape: elongated; primary_colors: vivid blue or blue-black along the entire body in males, yellow in adult females; secondary_colors: yellow along the dorsal ridge and snout in males; markings: yellow dorsal stripe running from the snout along the entire length of the dorsal fin edge in males, uniform yellow body coloration in females; dorsal_fin: long and continuous running the full body length, yellow-edged in males, integrated into body color in females; caudal_fin: small, rounded, continuous with dorsal and anal fins, yellow-tipped; unique_features: highly elongated leaf-like nostrils projecting outward from the snout, distinctive tubular anterior nostrils with flared ruffled edges, laterally expanded jaw with slightly open mouth revealing small teeth","Sandy burrows, caves, and coral reefs in Indo-Pacific (East Africa, Japan, Australia, French Polynesia), lagoons and reef slopes, 3EE60 m depth.",100 cm,15 years,30 m,0.8 kg
Scrawled filefish,ปลาวัวหางพัด,Aluterus scriptus,Tetraodontiformes,"The scrawled filefish is a medium-sized, shy, diurnal fish found in tropical oceans worldwide. It inhabits lagoons, coral and rocky reefs, and open water. Grows up to 110 cm. Its coloration varies with environment, featuring blue lines, spots, and a broom-like tail.","body_shape: laterally compressed; primary_colors: olive green to bluish gray; secondary_colors: pale yellowish or cream on the belly; markings: irregular blue lines and spots scattered across the entire body and head forming a scrawled or maze-like pattern, with scattered small black spots throughout; dorsal_fin: small first dorsal spine positioned above or just behind the eye, second dorsal fin long and low matching body coloration with blue markings; caudal_fin: rounded, bluish green with elongated trailing filaments on upper and lower edges in adults; unique_features: long prominent rostrum with a small upturned mouth, large retractable first dorsal spine above the eye, and a dewlap along the ventral surface visible as a skin flap","Lagoons, coral and rocky reefs, seaweed fields, pinnacles, wrecks, open water; circumtropical (Atlantic, Indian, Pacific Oceans).",80 cm,15 years,30 m,3 kg
White-spotted puffer,ปลาปักเป้ายักษ์แต้มขาว,Arothron hispidus,Tetraodontiformes,"The white-spotted puffer is a medium to large nocturnal, solitary fish found in Indo-Pacific reefs, lagoons, and tidepools at depths of 3EE35 m. It reaches up to 50 cm, is territorial, and feeds on algae, molluscs, sponges, corals, and invertebrates.","body_shape: fusiform; primary_colors: dark brown to blackish-brown on dorsal surface, white on ventral surface; secondary_colors: pale yellowish-white on sides transitioning to white belly; markings: numerous small white spots densely covering the dorsal and lateral surfaces of the body and head, with a distinct large dark blotch on the side behind the pectoral fin base; dorsal_fin: small, rounded, positioned far posterior near tail, dark brownish coloration; caudal_fin: rounded, dark brown to blackish with a pale or whitish posterior margin; unique_features: prominent large dark blotch on each flank behind the pectoral fin axil, dense white spotting across entire dorsal surface contrasting sharply with unmarked white belly, rounded inflatable body typical of pufferfish with no pelvic fins visible","Reefs, lagoons, estuaries, tidepools; Indo-Pacific (Red Sea to eastern Pacific), 3EE35 m depth.",40 cm,12 years,20 m,1.2 kg
Map puffer,ปลาปักเป้าหน้าลาย,Arothron mappa,Tetraodontiformes,"The map puffer is a medium-sized, solitary, diurnal fish found in tropical Indo-Pacific reefs and lagoons, from the surface to 30 m. It grows up to 65 cm, is toxic, and feeds on benthic invertebrates, sponges, and algae. Notable for its intricate body pattern.","body_shape: oblong, robust and rounded, capable of inflation; primary_colors: pale grayish to yellowish-brown base on dorsal and lateral surfaces; secondary_colors: whitish on the ventral surface; markings: maze-like pattern of fine dark brown to black curved lines and stripes resembling map contours, with distinctive dark lines radiating outward from around the eyes; dorsal_fin: small, rounded, set far back near the caudal peduncle; caudal_fin: rounded to truncate, pale with fine dark markings; unique_features: inflatable body, beak-like fused teeth, small pointed snout, no pelvic fins, dark spot often present at the pectoral fin base","Reef drop-offs, sheltered lagoons, tropical/subtropical Indo-Pacific (Indian Ocean to western Pacific), surface to 30 m depth.",50 cm,10 years,20 m,1.0 kg
Blackspotted puffer,ปลาปักเป้าหน้าหมา,Arothron nigropunctatus,Tetraodontiformes,"The blackspotted puffer is a small, solitary, territorial fish found in tropical Indo-Pacific reefs and lagoons, from the surface to 25 m. It grows up to 33 cm, is toxic, and feeds on benthic invertebrates, sponges, algae, corals, crustaceans, and mollusks. Coloration is highly variable.","body_shape: fusiform; primary_colors: pale yellowish-white to cream on the dorsal surface, white on the ventral surface; secondary_colors: bright yellow to orange-yellow on the flanks and around the face; markings: numerous black spots of varying sizes scattered across the dorsal and lateral surfaces of the body, with larger black spots concentrated on the back and smaller ones toward the sides; dorsal_fin: small, rounded, positioned far posterior near the tail, dark with possible pale edging; caudal_fin: rounded, pale whitish to yellowish with a dark margin; unique_features: a prominent black patch encircling the base of the pectoral fin, a large black blotch on the lower belly, inflatable rounded body, small beak-like fused teeth visible at the mouth, and a blunt rounded snout","External reef slopes, lagoons, tropical Indo-Pacific (Indian Ocean to central Pacific, except Red Sea), surface to 25 m depth.",25 cm,8 years,15 m,0.7 kg
Stellate puffer,ปลาปักเป้าก้นดำ,Arothron stellatus,Tetraodontiformes,"The stellate puffer is a large, solitary, diurnal fish found in tropical Indo-Pacific reefs, lagoons, and sandy areas from the surface to 58 m. It grows up to 120 cm, is toxic, and feeds on benthic invertebrates, sponges, algae, corals, crustaceans, and mollusks. Spot size decreases with age.","body_shape: fusiform; primary_colors: brownish-olive to grayish-brown on dorsal surface, pale white to cream on ventral surface; secondary_colors: yellowish tones on flanks; markings: numerous small white spots scattered across the dorsal and lateral surfaces of the body, dark irregular blotches on the back and upper sides; dorsal_fin: small, rounded, positioned posteriorly near the caudal peduncle, brownish in color; caudal_fin: rounded, pale brownish with a slightly darker edge; unique_features: prominent dark brown to black stellate star-shaped or irregular dark patches on the dorsal surface, small spines covering the body visible as a rough texture, capable of inflation giving a globose appearance, no pelvic fins visible","External reef slopes, sheltered lagoons, sandy areas, tropical/subtropical Indo-Pacific (Indian Ocean, Red Sea, Polynesia, Japan, Australia, Lord Howe Island), surface to 58 m depth.",80 cm,15 years,30 m,7 kg
Orange-lined triggerfish,ปลาวัวลายส้ม,Balistapus undulatus,Tetraodontiformes,"A territorial, diurnal triggerfish with striking orange lines on a dark body. Found in Indo-Pacific coral reefs, it is a key predator of burrowing sea urchins, helping maintain reef health. Solitary, aggressive, and omnivorous, reaching up to 30 cm.","body_shape: laterally compressed; primary_colors: dark brown to black overall body; secondary_colors: pale yellowish to cream underside; markings: narrow bright orange to yellow horizontal lines and streaks running along the sides of the body following the scale rows, with a yellowish-orange region around the mouth and lower face; dorsal_fin: two dorsal fins, first with a stout erectile spine, second dorsal fin soft-rayed and tall, dark coloration matching body; caudal_fin: rounded to slightly truncate, dark brown to blackish with pale or whitish outer margin; unique_features: prominent bright orange or yellow lines covering the lateral body surface in a distinctive striped pattern, large mouth with visible teeth, first dorsal spine conspicuously stout and lockable, pale ring or patch around the mouth area highly visible against dark body","Coral reefs, lagoons, and external reef slopes in Indo-Pacific, Red Sea, East Africa, and Japan; prefers depths of 2EE50 m, adults favor rocky/branching coral, juveniles softer substrates.",30 cm,10 years,20 m,0.7 kg
